aria_display_clear_eol nitpick_display_clear_eol
aria_display_flush nitpick_display_flush
aria_gc_safepoint npk_gc_safepoint
aria_input_read_key nitpick_input_read_key
aria_panic_overflow npk_panic_overflow
aria_sleep_ms npk_sleep_ms
aria_string_concat_simple npk_string_concat_simple
aria_string_equals npk_string_equals
aria_string_from_char_simple npk_string_from_char_simple
aria_string_from_int_simple npk_string_from_int_simple
aria_string_index_of_simple npk_string_index_of_simple
aria_string_starts_with npk_string_starts_with
aria_string_substring_simple npk_string_substring_simple
